chosen field: 1
ALL STUDENTS
=========================================================
Student(student_id=1, passed_practical=True, field=1)
Student(student_id=57, passed_practical=False, field=2)
Student(student_id=58, passed_practical=False, field=5)
Student(student_id=59, passed_practical=False, field=3)
Student(student_id=60, passed_practical=False, field=1)
Student(student_id=61, passed_practical=False, field=5)
Student(student_id=62, passed_practical=False, field=1)
Student(student_id=63, passed_practical=False, field=4)
Student(student_id=64, passed_practical=False, field=5)
Student(student_id=65, passed_practical=False, field=1)
Student(student_id=66, passed_practical=False, field=4)
Student(student_id=67, passed_practical=False, field=2)
Student(student_id=68, passed_practical=False, field=2)
Student(student_id=69, passed_practical=True, field=4)
Student(student_id=70, passed_practical=False, field=2)
Student(student_id=71, passed_practical=False, field=2)
Student(student_id=72, passed_practical=False, field=5)
Student(student_id=73, passed_practical=False, field=5)
Student(student_id=74, passed_practical=False, field=5)
Student(student_id=75, passed_practical=False, field=2)
Student(student_id=76, passed_practical=False, field=4)
Student(student_id=77, passed_practical=False, field=5)
Student(student_id=78, passed_practical=True, field=1)
Student(student_id=79, passed_practical=False, field=3)
Student(student_id=80, passed_practical=False, field=1)
Student(student_id=81, passed_practical=False, field=5)
Student(student_id=82, passed_practical=True, field=4)
Student(student_id=83, passed_practical=False, field=1)
Student(student_id=84, passed_practical=False, field=4)
Student(student_id=85, passed_practical=False, field=3)
Student(student_id=86, passed_practical=False, field=1)
Student(student_id=87, passed_practical=False, field=2)
Student(student_id=88, passed_practical=False, field=4)
Student(student_id=89, passed_practical=False, field=4)
Student(student_id=90, passed_practical=False, field=4)
Student(student_id=91, passed_practical=False, field=5)
Student(student_id=92, passed_practical=False, field=1)
Student(student_id=93, passed_practical=False, field=1)
Student(student_id=94, passed_practical=False, field=4)
Student(student_id=95, passed_practical=False, field=5)
Student(student_id=96, passed_practical=False, field=1)
Student(student_id=97, passed_practical=False, field=1)
Student(student_id=98, passed_practical=False, field=3)
Student(student_id=99, passed_practical=False, field=4)
Student(student_id=100, passed_practical=False, field=3)
=========================================================
STUDENTS WHO TOOK EXAM
=========================================================
Student(student_id=1, passed_practical=True, field=1)
Student(student_id=10, passed_practical=False, field=1)
Student(student_id=13, passed_practical=False, field=1)
Student(student_id=14, passed_practical=False, field=1)
Student(student_id=15, passed_practical=False, field=1)
Student(student_id=18, passed_practical=False, field=1)
Student(student_id=20, passed_practical=False, field=1)
Student(student_id=22, passed_practical=False, field=1)
Student(student_id=27, passed_practical=False, field=1)
Student(student_id=32, passed_practical=False, field=1)
Student(student_id=34, passed_practical=False, field=1)
Student(student_id=39, passed_practical=False, field=1)
Student(student_id=41, passed_practical=False, field=1)
Student(student_id=50, passed_practical=False, field=1)
Student(student_id=53, passed_practical=False, field=1)
Student(student_id=54, passed_practical=True, field=1)
Student(student_id=60, passed_practical=False, field=1)
Student(student_id=62, passed_practical=False, field=1)
Student(student_id=65, passed_practical=False, field=1)
Student(student_id=78, passed_practical=True, field=1)
Student(student_id=80, passed_practical=False, field=1)
Student(student_id=83, passed_practical=False, field=1)
Student(student_id=86, passed_practical=False, field=1)
Student(student_id=92, passed_practical=False, field=1)
Student(student_id=93, passed_practical=False, field=1)
Student(student_id=96, passed_practical=False, field=1)
Student(student_id=97, passed_practical=False, field=1)
=========================================================
=== Final Results ===
Student ID: 1, Practical Grade: passed earlier, Theoretical Grade: 3.5
Student ID: 10, Practical Grade: 4.5, Theoretical Grade: 3.5
Student ID: 13, Practical Grade: 4.0, Theoretical Grade: 4.0
Student ID: 14, Practical Grade: 4.0, Theoretical Grade: 5.0
Student ID: 15, Practical Grade: 3.5, Theoretical Grade: 4.5
Student ID: 18, Practical Grade: 4.5, Theoretical Grade: 4.0
Student ID: 20, Practical Grade: 3.0, Theoretical Grade: 4.0
Student ID: 22, Practical Grade: 4.5, Theoretical Grade: 4.5
Student ID: 27, Practical Grade: 3.0, Theoretical Grade: 4.5
Student ID: 32, Practical Grade: 4.5, Theoretical Grade: 3.0
Student ID: 34, Practical Grade: 4.0, Theoretical Grade: 3.0
Student ID: 39, Practical Grade: 3.5, Theoretical Grade: 4.0
Student ID: 41, Practical Grade: 4.5, Theoretical Grade: 3.5
Student ID: 50, Practical Grade: 3.0, Theoretical Grade: 4.0
Student ID: 53, Practical Grade: 4.0, Theoretical Grade: 4.5
Student ID: 54, Practical Grade: passed earlier, Theoretical Grade: 3.5
Student ID: 60, Practical Grade: 3.5, Theoretical Grade: 4.0
Student ID: 62, Practical Grade: 3.5, Theoretical Grade: 4.0
Student ID: 65, Practical Grade: 3.5, Theoretical Grade: 4.5
Student ID: 78, Practical Grade: passed earlier, Theoretical Grade: 4.0
Student ID: 80, Practical Grade: 4.0, Theoretical Grade: 4.0
Student ID: 83, Practical Grade: 4.0, Theoretical Grade: 4.0
Student ID: 86, Practical Grade: 4.0, Theoretical Grade: 4.0
Student ID: 92, Practical Grade: 4.5, Theoretical Grade: 3.5
Student ID: 93, Practical Grade: 4.5, Theoretical Grade: 4.0
Student ID: 96, Practical Grade: 4.0, Theoretical Grade: 3.5
Student ID: 97, Practical Grade: 4.0, Theoretical Grade: 3.0
=====================
